,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
AAPL,1.0,0.5548821804921521,0.5898379177224987,0.31654388384007204,0.4238806663959638,0.5218801992005364,0.66319090364136,0.5275521381504664,0.3540577349249106,0.30850448073721204
AMZN,0.5548821804921521,1.0,0.6328598945180441,0.18069803960557954,0.3139126038881752,0.5980807295781096,0.651272451793416,0.5139447016784189,0.2011199304978931,0.1859924345532731
GOOGL,0.5898379177224987,0.6328598945180441,1.0,0.2701694105900445,0.405086787867626,0.6090742855977853,0.6842878462387499,0.5222634489680632,0.27009163907460715,0.2709295274278277
JNJ,0.31654388384007204,0.18069803960557954,0.2701694105900445,1.0,0.37201231452240213,0.17615481231381358,0.3347430288117951,0.1267822319471276,0.5277197290879378,0.3107381934352311
JPM,0.4238806663959638,0.3139126038881752,0.405086787867626,0.37201231452240213,1.0,0.3275502163105497,0.4436709872995328,0.34229447935910046,0.3211171896856118,0.5412514409786918
META,0.5218801992005364,0.5980807295781096,0.6090742855977853,0.17615481231381358,0.3275502163105497,1.0,0.5887473722822224,0.48411474778509184,0.2011311356045012,0.1874347646949649
MSFT,0.66319090364136,0.651272451793416,0.6842878462387499,0.3347430288117951,0.4436709872995328,0.5887473722822224,1.0,0.604065137643379,0.3807435649540629,0.2748944187211151
NVDA,0.5275521381504664,0.5139447016784189,0.5222634489680632,0.1267822319471276,0.34229447935910046,0.48411474778509184,0.604065137643379,1.0,0.1692382571548328,0.1988292899593335
PG,0.3540577349249106,0.2011199304978931,0.27009163907460715,0.5277197290879378,0.3211171896856118,0.2011311356045012,0.3807435649540629,0.1692382571548328,1.0,0.25137600938605587
XOM,0.30850448073721204,0.1859924345532731,0.2709295274278277,0.3107381934352311,0.5412514409786918,0.1874347646949649,0.2748944187211151,0.1988292899593335,0.25137600938605587,1.0
